File,Home ,Insert,Draw,Page Layout,Formulas,Data,Review,View,Add-ins,Team,Design,Tell Me What You Want To Do
Info,Clipboard,Pivot Table,Select,Themes,Insert Function,Get Data,Spelling,Normal,Custom Toolbars,New List,Table Name,
New,Font,Recommended Pivot Tables,Draw With Touch,Colors,AutoSum,Text from CSV,Thesaurus,Page Break Preview,,Publish,Resize Table,
Open,Font Size,Table,Eraser,Fonts,Recently Used,From Web,Check Accessibility,Page Layout,,Refresh,Summarize with PivotTable,
Save,Font Color,Pictures,Lasso,Effects,Financial,From Table / Range,Smart Lookup,Custom Views,,Get Work Items,Remove Duplicates,
Save As,Font Style,Online Pictures,Pens,Margins,Logical,Recent Sources,Translate,Ruler,,Choose Columns,Convert to Range,
Print,Subscript / Superscript,Shapes,Ink to Shape,Orientation,Test,Existing Connections,New Comment,Gridlines,,Links and Attachments,Insert Slicer,
Share,Cell Borders,Icons,Ink to Math,Size,Date & Time,Queries & Connections,Show/Hide Comment,Formula Bar,,Edit Areas and Iterations,Export,
Export,Background Color,D Models,Ink Replay,Print Area,Lookup & Reference,Sort & Filter,Show all Comments,Headings,,Configure,Refresh,
Publish,Color,Smart Art,,Breaks,Math & Trig,Text to Columns,Show Ink,Zoom,,Open in Web Access,Properties,
Close,Text align,Screenshot,,Backgrounds,More Functions,Flash Fill,Project Sheet,100%,,Add Tree Level,Open in Browser,
Account,Indent,Store,,Print Titles,Name Manager,Remove Duplicates,Project Workbook,Zoom to Selection,,Add Child,Unlink,
Feedback,Wrap Text,My Add-Ins,,Width,Define Name,Data Validation,Share Workbook (Legacy),New Window,,Outdent,Table Style Options,
,Merge,Charts,,Height,Use In Formula,Consolidate,Allow Users To Edit Ranges,Arrange All,,Indent,Table Styles,
,Data Type,Tours,,Scale,Create From Selection,Relationships,,Freeze Panes,,Select User,,
,Conditional Formatting,Sparklines,,Gridlines,Trace Precedents,Manage Data Model,,Split,,New Reports,,
,Format As Table,Filters,,Headings,Trace Dependents,What-If Analysis,,Hide,,Team Foundations Help,,
,Cell Style,Links,,Bring Forward,Remove Arrows,Forecast Sheet,,Unhide,,Team Project Process Guidance,,
,Insert,Text Box,,Send Backward,Show Formulas,Group,,View Side By Side,,Team Project Portal,,
,Delete,Header & Footer,,Selection Pane,Error Checking,Ungroup,,Synchronous Scrolling,,,,
,Format,WordArt,,Align,Evaluate Formula,Subtotal,,Reset Window Positions,,,,
,Autosum,Signature Line,,Group,Watch Window,,,Switch Windows,,,,
,Fill,Object,,Rotate,Calculate Options,,,Macros,,,,
,Clear,Equation,,,Calculate Now,,,,,,,
,Sort & Filter,Symbol,,,Calculate Sheet,,,,,,,
